Provider/Agency,Hosting Org,Street Address,City,State,Postal Code,"Location (Lat, Long)",Latitude,Longitude,NTA Code,NTA Name,Council Distrcit,Offer Wifi,Original Dataset,Add'l Info
LinkNYC - Citybridge,Unknown,620 5 AVENUE,Brooklyn,New York,11215,"(40.6635500702, -73.9912456206)",40.66355007,-73.99124562,BK37,Park Slope-Gowanus,38,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
LinkNYC - Citybridge,Unknown,459 2 AVENUE,New York,New York,10010,"(40.7397623797, -73.9796929999)",40.73976238,-73.979693,MN20,Murray Hill-Kips Bay,2,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
LinkNYC - Citybridge,Unknown,2704 BROADWAY,New York,New York,10025,"(40.79933067, -73.9682322398)",40.79933067,-73.96823224,MN12,Upper West Side,7,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
LinkNYC - Citybridge,Unknown,252 COURT STREET,Brooklyn,New York,11231,"(40.685389756, -73.9945262011)",40.68538976,-73.9945262,BK33,Carroll Gardens-Columbia Street-Red Hook,39,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
LinkNYC - Citybridge,Unknown,2495 JEROME AVENUE,Bronx,New York,10468,"(40.86366546, -73.9005118697)",40.86366546,-73.90051187,BX30,Kingsbridge Heights,14,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
Transit Wireless,Unknown,IND-G-21ST ST,Queens,New York,11101,"(40.7440649999, -73.9497239997)",40.744065,-73.949724,QN31,Hunters Point-Sunnyside-West Maspeth,26,Free,NYC Wifi Hotspot Locations,TransitWirelessWiFi
LinkNYC - Citybridge,Unknown,734 3Rd Ave,New York,New York,10017,"(40.753149, -73.9728679996)",40.753149,-73.972868,MN19,Turtle Bay-East Midtown,4,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
LinkNYC - Citybridge,Unknown,1421 5 AVENUE,New York,New York,10035,"(40.8007811996, -73.94624056)",40.8007812,-73.94624056,MN34,East Harlem North,9,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
Harlem,Unknown,2411FDB,New York,New York,10027,"(40.8128710001, -73.9493459995)",40.812871,-73.949346,MN03,Central Harlem North-Polo Grounds,9,Free,NYC Wifi Hotspot Locations,Harlem Wi-Fi
LinkNYC - Citybridge,Unknown,801 AMSTERDAM AVE,New York,New York,10025,"(40.7959509996, -73.9688490003)",40.795951,-73.968849,MN12,Upper West Side,7,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
LinkNYC - Citybridge,Unknown,2022 3 AVENUE,New York,New York,10029,"(40.7949113799, -73.9423965402)",40.79491138,-73.94239654,MN33,East Harlem South,8,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
LinkNYC - Citybridge,Unknown,394 KENT AVENUE,Brooklyn,New York,11249,"(40.7109881099, -73.9685338097)",40.71098811,-73.96853381,BK73,North Side-South Side,33,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
LinkNYC - Citybridge,Unknown,141 3 AVENUE,New York,New York,10003,"(40.7338407502, -73.9866343903)",40.73384075,-73.98663439,MN21,Gramercy,2,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
Fiberless,Unknown,Liggett C Clayton,New York,New York,10004,"(40.69071, -74.0195700005)",40.69071,-74.01957,MN99,Governors Island,1,Free,NYC Wifi Hotspot Locations,Governors Island
Downtown Brooklyn,Unknown,80 Hanson Place,Brooklyn,New York,11217,"(40.6853080003, -73.9744719998)",40.685308,-73.974472,BK68,Fort Greene,35,Free,NYC Wifi Hotspot Locations,Downtown Brooklyn WiFi
LinkNYC - Citybridge,Unknown,232 8 AVENUE,New York,New York,10011,"(40.7444030004, -73.9989929999)",40.744403,-73.998993,MN13,Hudson Yards-Chelsea-Flatiron-Union Square,3,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
LinkNYC - Citybridge,Unknown,301 WEST 57 STREET,New York,New York,10019,"(40.7669397902, -73.9831552895)",40.76693979,-73.98315529,MN15,Clinton,3,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
ALTICEUSA,Unknown,SPAN BTWH 725 & 737 SOUTHERN BL,Bronx,New York,10455,"(40.8146900002, -73.8985019994)",40.81469,-73.898502,BX33,Longwood,8,Limited Free,NYC Wifi Hotspot Locations,GuestWiFi
LinkNYC - Citybridge,Unknown,54 2 AVENUE,New York,New York,10003,"(40.7256410001, -73.9896980003)",40.725641,-73.989698,MN22,East Village,2,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
Downtown Brooklyn,Unknown,110 Livingston St.,Brooklyn,New York,11201,"(40.6908829998, -73.9896349995)",40.690883,-73.989635,BK09,Brooklyn Heights-Cobble Hill,33,Free,NYC Wifi Hotspot Locations,Downtown Brooklyn WiFi
LinkNYC - Citybridge,Unknown,1000 1 AVENUE,New York,New York,10022,"(40.7568787502, -73.9638179695)",40.75687875,-73.96381797,MN19,Turtle Bay-East Midtown,4,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
Harlem,Unknown,pole 53 new 127NWCMad,New York,New York,10035,"(40.8070920004, -73.9397140004)",40.807092,-73.939714,MN03,Central Harlem North-Polo Grounds,9,Free,NYC Wifi Hotspot Locations,Harlem Wi-Fi
LinkNYC - Citybridge,Unknown,213 UNION AVENUE,Brooklyn,New York,11211,"(40.706822167, -73.9505289535)",40.70682217,-73.95052895,BK73,North Side-South Side,34,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
LinkNYC - Citybridge,Unknown,908 8 AVENUE,New York,New York,10019,"(40.7646461904, -73.9842294506)",40.76464619,-73.98422945,MN17,Midtown-Midtown South,3,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
LinkNYC - Citybridge,Unknown,488 Madison Ave,New York,New York,10022,"(40.7586329403, -73.9753407498)",40.75863294,-73.97534075,MN17,Midtown-Midtown South,4,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
LinkNYC - Citybridge,Unknown,160-05 JAMAICA AVENUE,Queens,New York,11432,"(40.7038952802, -73.7990175101)",40.70389528,-73.79901751,QN61,Jamaica,24,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
LinkNYC - Citybridge,Unknown,980 Columbus Avenue,New York,New York,10025,"(40.8006900003, -73.9619456901)",40.80069,-73.96194569,MN09,Morningside Heights,7,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
LinkNYC - Citybridge,Unknown,252 EAST 52 STREET,New York,New York,10022,"(40.7561741504, -73.9678290802)",40.75617415,-73.96782908,MN19,Turtle Bay-East Midtown,4,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
LinkNYC - Citybridge,Unknown,2227 BROADWAY,New York,New York,10024,"(40.7841280003, -73.9799960002)",40.784128,-73.979996,MN12,Upper West Side,6,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
BPL,Unknown,1265 43 STREET,Brooklyn,New York,11219,"(40.6388851668, -73.9890077838)",40.63888517,-73.98900778,BK88,Borough Park,39,Free,NYC Wifi Hotspot Locations,BPLUNWIRED
Transit Wireless,Unknown,"Broadway-Lafayette St (B,D,F)/Bleecker St (6)",New York,New York,10012,"(40.7252969996, -73.9962039999)",40.725297,-73.996204,MN23,West Village,1,Free,NYC Wifi Hotspot Locations,TransitWirelessWiFi
SPECTRUM,Unknown,Pathway from Building L to Building P,Staten Island,New York,10310,"(40.6423390003, -74.1026880006)",40.642339,-74.102688,SI22,West New Brighton-New Brighton-St. George,49,Limited Free,NYC Wifi Hotspot Locations,GuestWiFi
LinkNYC - Citybridge,Unknown,150 EAST 4 STREET,New York,New York,10009,"(40.7250035503, -73.9870394796)",40.72500355,-73.98703948,MN22,East Village,2,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
NYPL,Unknown,75 BENNETT STREET,Staten Island,New York,10302,"(40.637585616, -74.1311046151)",40.63758562,-74.13110462,SI28,Port Richmond,49,Free,NYC Wifi Hotspot Locations,NYPL
LinkNYC - Citybridge,Unknown,265 NEW DORP LANE,Staten Island,New York,10306,"(40.5726200002, -74.1133829994)",40.57262,-74.113383,SI45,New Dorp-Midland Beach,50,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
Transit Wireless,Unknown,"Franklin Av (2,3,4,5)/Botanic Garden (S)",Brooklyn,New York,11225,"(40.6706820004, -73.9581310004)",40.670682,-73.958131,BK63,Crown Heights South,35,Free,NYC Wifi Hotspot Locations,TransitWirelessWiFi
LinkNYC - Citybridge,Unknown,207 WEST 34 STREET,New York,New York,10001,"(40.7512738599, -73.9910694205)",40.75127386,-73.99106942,MN17,Midtown-Midtown South,3,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
LinkNYC - Citybridge,Unknown,1536 ST NICHOLAS AVE,New York,New York,10033,"(40.8528573648, -73.9310071503)",40.85285736,-73.93100715,MN35,Washington Heights North,10,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
LinkNYC - Citybridge,Unknown,112-28 QUEENS BOULEVARD,Queens,New York,11375,"(40.7176640001, -73.8362619997)",40.717664,-73.836262,QN17,Forest Hills,29,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
NYPL,Unknown,9 MURRAY STREET,New York,New York,10007,"(40.7136065153, -74.0078616724)",40.71360652,-74.00786167,MN24,SoHo-TriBeCa-Civic Center-Little Italy,1,Free,NYC Wifi Hotspot Locations,NYPL
ALTICEUSA,Unknown,Crotona Park- CROTONA PARK NORTH  2/P/E/O PROSPECT AV,Bronx,New York,10460,"(40.8407059999, -73.8913980006)",40.840706,-73.891398,BX17,East Tremont,17,Limited Free,NYC Wifi Hotspot Locations,GuestWiFi
LinkNYC - Citybridge,Unknown,991 NOSTRAND AVENUE,Brooklyn,New York,11225,"(40.6641664798, -73.9509196198)",40.66416648,-73.95091962,BK63,Crown Heights South,35,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
LinkNYC - Citybridge,Unknown,1780 AMSTERDAM AVENUE,New York,New York,10031,"(40.8273049399, -73.9462259305)",40.82730494,-73.94622593,MN04,Hamilton Heights,7,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
LinkNYC - Citybridge,Unknown,555 6 AVENUE,New York,New York,10011,"(40.7383023997, -73.9962956503)",40.7383024,-73.99629565,MN13,Hudson Yards-Chelsea-Flatiron-Union Square,3,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
LinkNYC - Citybridge,Unknown,3846 BROADWAY,New York,New York,10032,"(40.8360810002, -73.9431859998)",40.836081,-73.943186,MN36,Washington Heights South,7,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
LinkNYC - Citybridge,Unknown,256 ST ANNS AVENUE,Bronx,New York,10454,"(40.8073775198, -73.91700042)",40.80737752,-73.91700042,BX39,Mott Haven-Port Morris,8,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
LinkNYC - Citybridge,Unknown,815 8 AVENUE,New York,New York,10019,"(40.7618160001, -73.9866059998)",40.761816,-73.986606,MN15,Clinton,3,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
LinkNYC - Citybridge,Unknown,222 WEST 77 STREET,New York,New York,10023,"(40.7822850901, -73.9804763999)",40.78228509,-73.9804764,MN12,Upper West Side,6,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
LinkNYC - Citybridge,Unknown,70 WEST 71 STREET,New York,New York,10023,"(40.7765734296, -73.97905068)",40.77657343,-73.97905068,MN14,Lincoln Square,6,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
SPECTRUM,Unknown,Park Area North,New York,New York,10027,"(40.8050129997, -73.9449089999)",40.805013,-73.944909,MN34,East Harlem North,9,Limited Free,NYC Wifi Hotspot Locations,GuestWiFi
SPECTRUM,Unknown,NW Area off Washington Sq N,New York,New York,10012,"(40.7303940002, -73.998476)",40.730394,-73.998476,MN23,West Village,1,Limited Free,NYC Wifi Hotspot Locations,GuestWiFi
LinkNYC - Citybridge,Unknown,2361 HYLAN BOULEVARD,Staten Island,New York,10306,"(40.5734659897, -74.1069168496)",40.57346599,-74.10691685,SI45,New Dorp-Midland Beach,50,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
Transit Wireless,Unknown,Times Square Shuttle – 42nd Street,New York,New York,10017,"(40.7527689999, -73.9791889998)",40.752769,-73.979189,MN17,Midtown-Midtown South,4,Free,NYC Wifi Hotspot Locations,TransitWirelessWiFi
LinkNYC - Citybridge,Unknown,118-04 JAMAICA AVE,Queens,New York,11418,"(40.6997544704, -73.8316089898)",40.69975447,-73.83160899,QN54,Richmond Hill,29,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
SPECTRUM,Unknown,Park Perimeter,Brooklyn,New York,11231,"(40.6725829999, -74.0055440003)",40.672583,-74.005544,BK33,Carroll Gardens-Columbia Street-Red Hook,38,Limited Free,NYC Wifi Hotspot Locations,GuestWiFi
LinkNYC - Citybridge,Unknown,436 BROOK AVENUE,Bronx,New York,10454,"(40.8121627203, -73.9164668698)",40.81216272,-73.91646687,BX39,Mott Haven-Port Morris,8,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
LinkNYC - Citybridge,Unknown,2 POWERS STREET,Brooklyn,New York,11211,"(40.7116663597, -73.9510261478)",40.71166636,-73.95102615,BK73,North Side-South Side,34,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
QPL,Unknown,89-11 MERRICK BOULEVARD,Jamaica,New York,11432,"(40.7078731318, -73.7946780399)",40.70787313,-73.79467804,QN61,Jamaica,27,Free,NYC Wifi Hotspot Locations,QBPL_WIRELESS
LinkNYC - Citybridge,Unknown,32-01 31 AVENUE,Queens,New York,11102,"(40.7639310004, -73.9224780003)",40.763931,-73.922478,QN70,Astoria,22,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
BPL,Unknown,340 BUSHWICK AVENUE,Brooklyn,New York,11206,"(40.7045590639, -73.9396184214)",40.70455906,-73.93961842,BK78,Bushwick South,34,Free,NYC Wifi Hotspot Locations,BPLUNWIRED
Harlem,Unknown,Pole 88 - 135NECLenTer,New York,New York,10037,"(40.8134339997, -73.939112)",40.813434,-73.939112,MN03,Central Harlem North-Polo Grounds,9,Free,NYC Wifi Hotspot Locations,Harlem Wi-Fi
LinkNYC - Citybridge,Unknown,142 LEXINGTON AVENUE,New York,New York,10016,"(40.7433844603, -73.9820385505)",40.74338446,-73.98203855,MN20,Murray Hill-Kips Bay,2,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
LinkNYC - Citybridge,Unknown,600 WEST 149 STREET,New York,New York,10031,"(40.8290371297, -73.9488689103)",40.82903713,-73.94886891,MN04,Hamilton Heights,7,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
LinkNYC - Citybridge,Unknown,748 AMSTERDAM AVE,New York,New York,10025,"(40.7946725903, -73.9700510404)",40.79467259,-73.97005104,MN12,Upper West Side,7,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
SPECTRUM,Unknown,South Hallway Outside the Office,Staten Island,New York,10301,"(40.6182370002, -74.1072130004)",40.618237,-74.107213,SI07,Westerleigh,49,Limited Free,NYC Wifi Hotspot Locations,GuestWiFi
LinkNYC - Citybridge,Unknown,739 UNION STREET,Brooklyn,New York,11217,"(40.6764090003, -73.98029)",40.676409,-73.98029,BK37,Park Slope-Gowanus,39,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
ALTICEUSA,Unknown,ROOF OF ABE STARK ICE RINK-FRONT,Brooklyn,New York,11224,"(40.5726690002, -73.9857469998)",40.572669,-73.985747,BK21,Seagate-Coney Island,47,Limited Free,NYC Wifi Hotspot Locations,GuestWiFi
LinkNYC - Citybridge,Unknown,34 EAST 73 STREET,New York,New York,10021,"(40.77237316, -73.9648388698)",40.77237316,-73.96483887,MN40,Upper East Side-Carnegie Hill,4,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
SPECTRUM,Unknown,Handball Court,Queens,New York,11421,"(40.6868889999, -73.8540349997)",40.686889,-73.854035,QN53,Woodhaven,32,Limited Free,NYC Wifi Hotspot Locations,GuestWiFi
LinkNYC - Citybridge,Unknown,201 EAST 70 STREET,New York,New York,10021,"(40.76842289, -73.9613808596)",40.76842289,-73.96138086,MN31,Lenox Hill-Roosevelt Island,4,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
BPL,Unknown,581 MOTHER GASTON BOULEVARD,Brooklyn,New York,11212,"(40.664453793, -73.9052223115)",40.66445379,-73.90522231,BK81,Brownsville,41,Free,NYC Wifi Hotspot Locations,BPLUNWIRED
LinkNYC - Citybridge,Unknown,1413 5 AVENUE,New York,New York,10029,"(40.8004460001, -73.9464835204)",40.800446,-73.94648352,MN34,East Harlem North,9,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
LinkNYC - Citybridge,Unknown,230 BERRY STREET,Brooklyn,New York,11249,"(40.7152266304, -73.9627406698)",40.71522663,-73.96274067,BK73,North Side-South Side,34,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
ALTICEUSA,Unknown,W 10TH ST -4/P/S/O SURF AV,Brooklyn,New York,11224,"(40.5740619998, -73.9779820001)",40.574062,-73.977982,BK21,Seagate-Coney Island,47,Limited Free,NYC Wifi Hotspot Locations,GuestWiFi
LinkNYC - Citybridge,Unknown,680 MELROSE AVENUE,Bronx,New York,10455,"(40.8193941504, -73.91616313)",40.81939415,-73.91616313,BX34,Melrose South-Mott Haven North,17,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
LinkNYC - Citybridge,Unknown,131 EAST 27 STREET,New York,New York,10016,"(40.7421389997, -73.9830479999)",40.742139,-73.983048,MN21,Gramercy,2,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
LinkNYC - Citybridge,Unknown,38 UNION SQUARE EAST,New York,New York,10003,"(40.7361409996, -73.9891830001)",40.736141,-73.989183,MN21,Gramercy,2,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
LinkNYC - Citybridge,Unknown,201 EAST 40 STREET,New York,New York,10017,"(40.7493007304, -73.9748181995)",40.74930073,-73.9748182,MN19,Turtle Bay-East Midtown,4,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
LinkNYC - Citybridge,Unknown,991 3 AVENUE,New York,New York,10022,"(40.7616041202, -73.9663882998)",40.76160412,-73.9663883,MN31,Lenox Hill-Roosevelt Island,4,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
LinkNYC - Citybridge,Unknown,620 COLUMBUS AVE,New York,New York,10024,"(40.7892631802, -73.9702839002)",40.78926318,-73.9702839,MN12,Upper West Side,6,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
SPECTRUM,Unknown,Park Perimeter,Queens,New York,11358,"(40.7501699996, -73.8071899999)",40.75017,-73.80719,QN52,East Flushing,20,Limited Free,NYC Wifi Hotspot Locations,GuestWiFi
Chelsea,Unknown,17th near 8th,New York,New York,10011,"(40.741900312, -74.0018570427)",40.74190031,-74.00185704,MN13,Hudson Yards-Chelsea-Flatiron-Union Square,3,Free,NYC Wifi Hotspot Locations,CICFreeWiFi
LinkNYC - Citybridge,Unknown,1431 BROADWAY,New York,New York,10018,"(40.7544929897, -73.9869351504)",40.75449299,-73.98693515,MN17,Midtown-Midtown South,3,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
Harlem,Unknown,pole 26: 120NEC7av,New York,New York,10026,"(40.8055840001, -73.9505360001)",40.805584,-73.950536,MN11,Central Harlem South,9,Free,NYC Wifi Hotspot Locations,Harlem Wi-Fi
LinkNYC - Citybridge,Unknown,271 EAST 161 STREET,Bronx,New York,10451,"(40.8256047402, -73.9182580897)",40.82560474,-73.91825809,BX14,East Concourse-Concourse Village,17,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
LinkNYC - Citybridge,Unknown,147 COLUMBUS AVENUE,New York,New York,10023,"(40.773657, -73.981404)",40.773657,-73.981404,MN14,Lincoln Square,6,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
Harlem,Unknown,pole 18: 111NS2ELe,New York,New York,10026,"(40.798102, -73.950349)",40.798102,-73.950349,MN11,Central Harlem South,9,Free,NYC Wifi Hotspot Locations,Harlem Wi-Fi
Fiberless,Unknown,Nolan Building 14 Back,New York,New York,10004,"(40.6885699998, -74.0147000004)",40.68857,-74.0147,MN99,Governors Island,1,Free,NYC Wifi Hotspot Locations,Governors Island
LinkNYC - Citybridge,Unknown,411 3 AVENUE,New York,New York,10016,"(40.7424329998, -73.9803709999)",40.742433,-73.980371,MN20,Murray Hill-Kips Bay,2,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
LinkNYC - Citybridge,Unknown,2868 BROADWAY,New York,New York,10025,"(40.8049591501, -73.9659025004)",40.80495915,-73.9659025,MN09,Morningside Heights,7,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
Fiberless,Unknown,Camping,New York,New York,10004,"(40.6892299996, -74.0218499996)",40.68923,-74.02185,MN99,Governors Island,1,Free,NYC Wifi Hotspot Locations,Governors Island
SPECTRUM,Unknown,3rd Floor Basketball Court,New York,New York,10001,"(40.7482700004, -74.0020679997)",40.74827,-74.002068,MN13,Hudson Yards-Chelsea-Flatiron-Union Square,3,Limited Free,NYC Wifi Hotspot Locations,GuestWiFi
Downtown Brooklyn,Unknown,409 Fulton St.,Brooklyn,New York,11201,"(40.6920229997, -73.988433)",40.692023,-73.988433,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,33,Free,NYC Wifi Hotspot Locations,Downtown Brooklyn WiFi
LinkNYC - Citybridge,Unknown,2939 BROADWAY,New York,New York,10025,"(40.8072958097, -73.9646455504)",40.80729581,-73.96464555,MN09,Morningside Heights,7,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
LinkNYC - Citybridge,Unknown,1410 1 AVENUE,New York,New York,10021,"(40.7695056596, -73.9546093603)",40.76950566,-73.95460936,MN31,Lenox Hill-Roosevelt Island,5,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
LinkNYC - Citybridge,Unknown,208 1 AVENUE,New York,New York,10009,"(40.73030035, -73.98319263)",40.73030035,-73.98319263,MN22,East Village,2,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
LinkNYC - Citybridge,Unknown,83-23 BROADWAY,Queens,New York,11373,"(40.7407371396, -73.8793601805)",40.74073714,-73.87936018,QN29,Elmhurst,25,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
LinkNYC - Citybridge,Unknown,410 COLUMBUS AVENUE,New York,New York,10024,"(40.7825399701, -73.9751837098)",40.78253997,-73.97518371,MN12,Upper West Side,6,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
Manhattan Down Alliance,Unknown,"75 Broadway, New York, NY 10006, USA",New York,New York,10006,"(40.7081985002, -74.0121002005)",40.7081985,-74.0121002,MN25,Battery Park City-Lower Manhattan,1,Free,NYC Wifi Hotspot Locations,#DwtwnAllianceFreeWiFi
SPECTRUM,Unknown,Juniper Blvd South West,Queens,New York,11379,"(40.71921, -73.885335)",40.71921,-73.885335,QN21,Middle Village,30,Limited Free,NYC Wifi Hotspot Locations,GuestWiFi
LinkNYC - Citybridge,Unknown,336 3 AVENUE,New York,New York,10010,"(40.74004081, -73.9824235595)",40.74004081,-73.98242356,MN21,Gramercy,2,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
ALTICEUSA,Unknown,C/O MIDDLETOWN RD  /OHM AV,Bronx,New York,10465,"(40.8481589997, -73.8210710004)",40.848159,-73.821071,BX10,Pelham Bay-Country Club-City Island,13,Limited Free,NYC Wifi Hotspot Locations,GuestWiFi
LinkNYC - Citybridge,Unknown,2754 HYLAN BOULEVARD,Staten Island,New York,10306,"(40.5647890002, -74.115318)",40.564789,-74.115318,SI25,Oakwood-Oakwood Beach,50,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
LinkNYC - Citybridge,Unknown,1356 AMSTERDAM AVENUE,New York,New York,10027,"(40.8141028299, -73.95586492)",40.81410283,-73.95586492,MN06,Manhattanville,7,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
ALTICEUSA,Unknown,IN PARK  BTWEEN HANDBALL COURTS  SOUTH SIDE,Brooklyn,New York,11237,"(40.7030410003, -73.9236280006)",40.703041,-73.923628,BK77,Bushwick North,34,Limited Free,NYC Wifi Hotspot Locations,GuestWiFi
LinkNYC - Citybridge,Unknown,31-02 30 AVENUE,Queens,New York,11102,"(40.7667662903, -73.9212759595)",40.76676629,-73.92127596,QN70,Astoria,22,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
ALTICEUSA,Unknown,ON MAST ON ROOF,Bronx,New York,10468,"(40.8647299997, -73.899037)",40.86473,-73.899037,BX05,Bedford Park-Fordham North,14,Limited Free,NYC Wifi Hotspot Locations,GuestWiFi
AT&T,Unknown,Near Montague St and Brooklyn Queens Expressway,Brooklyn,New York,11201,"(40.6943000001, -73.9988000002)",40.6943,-73.9988,BK09,Brooklyn Heights-Cobble Hill,33,Free,NYC Wifi Hotspot Locations,attwifi
ALTICEUSA,Unknown,HORSESHOE PLAYGROUND-HALL PL 2/P/N/O E 165TH ST EAST SIDE,Bronx,New York,10459,"(40.824255, -73.8979100001)",40.824255,-73.89791,BX33,Longwood,17,Limited Free,NYC Wifi Hotspot Locations,GuestWiFi
SPECTRUM,Unknown,155th St between 29th Ave and 32nd Ave,Queens,New York,11354,"(40.7712289998, -73.8090500002)",40.771229,-73.80905,QN51,Murray Hill,19,Limited Free,NYC Wifi Hotspot Locations,GuestWiFi
SPECTRUM,Unknown,Park Perimeter,Queens,New York,11434,"(40.6807900002, -73.7846799996)",40.68079,-73.78468,QN76,Baisley Park,28,Limited Free,NYC Wifi Hotspot Locations,GuestWiFi
ALTICEUSA,Unknown,BEHIND BOAT HOUSE  BTWN M-205 & M-206,Brooklyn,New York,11215,"(40.6608419997, -73.9651209997)",40.660842,-73.965121,BK99,park-cemetery-etc-Brooklyn,39,Limited Free,NYC Wifi Hotspot Locations,GuestWiFi
BPL,Unknown,12143 FLATLANDS AVENUE,Brooklyn,New York,11207,"(40.6532640727, -73.8859090476)",40.65326407,-73.88590905,BK82,East New York,42,Free,NYC Wifi Hotspot Locations,BPLUNWIRED
BPL,Unknown,725 ST MARKS AVENUE,Brooklyn,New York,11216,"(40.6753708519, -73.9485661367)",40.67537085,-73.94856614,BK61,Crown Heights North,36,Free,NYC Wifi Hotspot Locations,BPLUNWIRED
LinkNYC - Citybridge,Unknown,55 3 AVENUE,New York,New York,10003,"(40.7310149996, -73.9886849997)",40.731015,-73.988685,MN22,East Village,2,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
LinkNYC - Citybridge,Unknown,360 LEXINGTON AVENUE,New York,New York,10017,"(40.75027937, -73.9770118004)",40.75027937,-73.9770118,MN20,Murray Hill-Kips Bay,4,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
LinkNYC - Citybridge,Unknown,487 EAST 156 STREET,Bronx,New York,10451,"(40.8201024948, -73.9128382274)",40.82010249,-73.91283823,BX34,Melrose South-Mott Haven North,17,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
